,gamma_autocorrelation,ocean_heat_capacity[0],ocean_heat_capacity[1],ocean_heat_capacity[2],ocean_heat_transfer[0],ocean_heat_transfer[1],ocean_heat_transfer[2],deep_ocean_efficacy,sigma_eta,sigma_xi,forcing_4co2,iirf_0[CO2],iirf_uptake[CO2],iirf_temperature[CO2],iirf_airborne[CO2],erfari_radiative_efficiency[BC],erfari_radiative_efficiency[OC],erfari_radiative_efficiency[Sulfur],erfari_radiative_efficiency[NOx],erfari_radiative_efficiency[VOC],erfari_radiative_efficiency[NH3],erfari_radiative_efficiency[CH4],erfari_radiative_efficiency[N2O],erfari_radiative_efficiency[Equivalent effective stratospheric chlorine],aci_shape[Sulfur],aci_shape[BC],aci_shape[OC],aci_scale,ozone_radiative_efficiency[CH4],ozone_radiative_efficiency[N2O],ozone_radiative_efficiency[Equivalent effective stratospheric chlorine],ozone_radiative_efficiency[CO],ozone_radiative_efficiency[VOC],ozone_radiative_efficiency[NOx],forcing_scale[CH4],forcing_scale[N2O],forcing_scale[Stratospheric water vapour],forcing_scale[Land use],forcing_scale[Volcanic],forcing_scale[Solar],forcing_scale[Light absorbing particles on snow and ice],forcing_scale[CO2],forcing_scale[CFC-11],forcing_scale[CFC-12],forcing_scale[CFC-113],forcing_scale[CFC-114],forcing_scale[CFC-115],forcing_scale[HCFC-22],forcing_scale[HCFC-141b],forcing_scale[HCFC-142b],forcing_scale[CCl4],forcing_scale[CHCl3],forcing_scale[CH2Cl2],forcing_scale[CH3Cl],forcing_scale[CH3CCl3],forcing_scale[CH3Br],forcing_scale[Halon-1211],forcing_scale[Halon-1301],forcing_scale[Halon-2402],forcing_scale[CF4],forcing_scale[C2F6],forcing_scale[C3F8],forcing_scale[c-C4F8],forcing_scale[C4F10],forcing_scale[C5F12],forcing_scale[C6F14],forcing_scale[C7F16],forcing_scale[C8F18],forcing_scale[NF3],forcing_scale[SF6],forcing_scale[SO2F2],forcing_scale[HFC-125],forcing_scale[HFC-134a],forcing_scale[HFC-143a],forcing_scale[HFC-152a],forcing_scale[HFC-227ea],forcing_scale[HFC-32],forcing_scale[HFC-365mfc],forcing_scale[HFC-4310mee],forcing_scale[HFC-23],forcing_scale[HFC-236fa],forcing_scale[HFC-245fa],baseline_concentration[CO2],seed,stochastic_run,use_seed
1553,6.387237254,4.698691751,13.72822171,119.559764,1.329738191,2.883952336,1.37209521,1.209077149,1.49178939,0.672271251,8.242464036,24.98846047,0.004485806,6.714452511,-0.000251197,0.007104286,-0.000337924,-0.002360578,-8.96E-05,-1.73E-05,-0.000634811,-3.81E-06,-2.67E-05,-9.41E-06,0.005902697,6.29E-12,0.01205375,-1.557173738,0.00032045,0.001324575,-0.000133631,3.55E-05,-5.30E-06,0.001561774,1.018087614,0.941174629,-0.358223805,0.876259674,0.951315186,0.880324775,0.63272697,1.032626787,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,0.866207554,281.1073696,1975410,FALSE,FALSE
2405,7.436842134,1.877502564,18.04778003,44.54084324,1.404427855,4.519629345,0.701631819,0.997019094,0.770028933,0.449813017,6.869955113,26.46740046,0.005996311,7.062220574,-0.00189881,0.02461313,-0.007843155,-0.003210082,-8.25E-05,-1.08E-05,-0.000566883,-2.30E-06,-3.26E-05,-8.38E-06,0.004164377,0.001845439,0.054958561,-2.103958525,0.000232504,0.00092766,-6.31E-05,0.000137335,8.99E-05,0.00146809,1.075713857,0.960817887,1.524864936,0.260619364,0.949847469,1.208493768,0.971516133,0.930571457,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,1.130174169,275.9642676,2315358,FALSE,FALSE
3183,2.905292955,2.410503957,19.19952376,74.47257123,1.411172542,4.277174615,0.766243531,1.171641654,0.747844207,0.56576493,6.901211163,31.43357728,0.000250722,4.198056847,0.002520397,0.01736531,-0.004459066,-0.002354602,-5.08E-05,-1.34E-05,-0.000602271,-2.81E-06,-2.76E-05,-7.62E-06,0.000851159,0.174480195,2.85E-14,-2.162586934,0.000220416,0.001255898,-0.000103292,0.000164719,0.00022384,0.000725888,1.21343176,0.948151264,1.15253571,0.403325229,1.073268865,0.839879517,1.067978643,0.932619197,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,1.051991301,279.0936261,2625780,FALSE,FALSE
6721,9.411929018,3.323134103,9.153617511,135.1376454,2.259793036,3.505672403,1.114494178,1.17466017,1.427250882,0.400288705,9.077496556,30.1361388,0.002164376,4.36603358,0.000983324,0.059749806,-0.006827513,-0.004015367,-7.57E-05,-3.24E-05,-0.000663064,-3.38E-06,-2.17E-05,-9.13E-06,0.012538158,6.20E-42,2.40E-12,-0.357032944,0.000186292,0.001272201,-6.88E-05,-5.14E-05,0.000233879,0.001329142,0.904704129,0.967902634,1.490961458,1.443259466,0.75011326,1.414084171,2.103095587,1.093707298,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,1.075388679,278.6257362,4037442,FALSE,FALSE
7482,6.940573587,4.275537327,31.86925837,64.02834138,1.455524266,1.200590949,0.575701398,1.305860023,0.745796709,0.286106668,6.006877678,31.76995624,0.000269451,3.119635499,0.002911491,0.008472271,-0.004145396,-0.003768879,-4.66E-05,-5.30E-05,-0.000592963,-1.84E-06,-4.67E-05,-7.42E-06,0.004123456,0.042526015,0.026660898,-0.79574778,0.000187895,0.001047153,-7.37E-05,-8.08E-06,0.000152408,0.001407492,1.035764928,0.943601448,0.898761534,1.05486297,0.94056093,0.94124709,0.519336758,0.869012138,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,1.050696356,277.968981,4341081,FALSE,FALSE
9338,3.936801162,3.53168481,17.57012349,121.3013658,0.940430683,4.050194258,1.091671641,1.522328983,1.092908796,0.601210425,7.720293584,37.16171204,-0.002849192,2.852230698,0.003242797,0.032271336,-0.002890569,-0.002503136,-6.00E-05,-1.12E-05,-0.000676165,-2.60E-06,-2.70E-05,-8.38E-06,0.005522812,28.15486858,2.21E-11,-1.016940442,0.000215687,0.001543834,-5.35E-05,2.67E-05,-0.000232368,0.002051054,0.854039427,0.955301618,0.499361894,0.804157311,0.993021563,0.744592385,1.936707953,0.993605208,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,0.981976478,273.4857642,5081625,FALSE,FALSE
15317,9.57285197,3.178056255,28.54319976,111.7121246,0.922383684,2.021399255,0.360601107,0.27294119,0.896859283,0.377675821,7.297396285,33.65701375,-0.000764757,0.490763215,0.004261948,0.017047285,-0.003556712,-0.004768507,-8.61E-05,-5.89E-06,-0.00060718,-2.77E-06,-2.19E-05,-8.08E-06,1.50E-06,4.75E-72,2.49E-07,-5608.658307,0.000211739,0.001259567,-2.94E-05,6.42E-05,-0.000226143,0.000818186,1.02773948,0.990261556,1.596038123,1.298594516,0.949430221,0.853833393,1.643684187,0.962221922,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,1.07140014,279.5569083,7467246,FALSE,FALSE
16369,8.334312403,4.663192885,15.03426257,51.85426844,1.800760257,2.68161283,0.995199175,1.234812092,1.118018927,0.708170784,9.042896343,31.7938128,0.001392221,2.256400935,0.002468162,0.023589563,-0.003723028,-0.003782259,-8.55E-05,-3.03E-05,-0.000576276,-1.11E-06,-4.56E-05,-8.24E-06,0.000521492,6.47E-05,2.57E-13,-13.21636788,0.000203557,0.000605702,-4.05E-05,0.000113085,-6.43E-05,0.001451814,0.964184578,0.945903788,0.76493233,0.648909162,0.854156845,1.52600409,2.627765655,1.090905983,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,0.928980283,277.7795822,7886994,FALSE,FALSE
18835,2.077690877,3.599488069,17.11321104,81.63972277,1.090720541,1.888513461,0.395619126,1.156456923,0.671777289,0.510475317,8.03388209,25.8006118,0.00578614,4.288928862,0.000573586,0.035102265,-0.004999148,-0.003005227,-6.37E-05,-7.62E-06,-0.000553981,-7.01E-07,-2.23E-05,-1.02E-05,0.015744366,12.09820947,4.80E-11,-1.011529299,0.000206502,0.000868633,3.61E-05,-9.68E-05,0.000117922,0.001413005,0.837238594,1.075111519,1.55388318,0.932121034,0.921525068,0.917837486,1.166178206,1.017212457,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,0.925709797,279.2759866,8870928,FALSE,FALSE
21043,16.43943343,4.098777908,26.0200505,42.72078547,0.919003649,3.505539042,1.137187356,1.925806004,1.717766691,0.594264714,8.738948419,25.78009584,0.005361532,2.09332394,0.003497163,0.018033521,-0.004496186,-0.000849252,-5.88E-05,-2.38E-05,-0.000710333,-4.27E-06,-4.37E-05,-8.45E-06,0.005942826,2.44E-14,0.010615472,-2.709698517,0.000276163,0.001097077,-7.50E-05,-0.000123594,6.71E-05,0.002257084,0.966749433,0.950896146,0.815302544,0.318626177,1.225349075,0.681368868,-0.579401345,1.068296134,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,1.010536382,279.3216072,9751920,FALSE,FALSE
